ds,mean_temp,day
2025-08-24,28.6,Sunday
2025-08-25,28.7,Monday
2025-08-26,28.7,Tuesday
2025-08-27,28.6,Wednesday
2025-08-28,28.8,Thursday
2025-08-29,28.7,Friday
2025-08-30,28.7,Saturday
2025-08-31,28.7,Sunday
2025-09-01,28.7,Monday
2025-09-02,28.8,Tuesday
2025-09-03,28.8,Wednesday
2025-09-04,28.8,Thursday
2025-09-05,28.9,Friday
2025-09-06,28.9,Saturday
2025-09-07,28.9,Sunday
2025-09-08,29.0,Monday
2025-09-09,29.0,Tuesday
2025-09-10,29.0,Wednesday
2025-09-11,29.0,Thursday
2025-09-12,29.1,Friday
2025-09-13,29.1,Saturday
2025-09-14,29.1,Sunday
2025-09-15,29.2,Monday
2025-09-16,29.2,Tuesday
2025-09-17,29.2,Wednesday
2025-09-18,29.2,Thursday
2025-09-19,29.3,Friday
2025-09-20,29.3,Saturday
2025-09-21,29.3,Sunday
2025-09-22,29.4,Monday
